@relation dataset_v3_10_12

@attribute household_key numeric
@attribute products_purchased numeric
@attribute no_of_stores numeric
@attribute no_of_orders numeric
@attribute total_visits numeric
@attribute no_of_national_products numeric
@attribute recency numeric
@attribute weekend_visits numeric
@attribute BrandNationalPercent numeric
@attribute PercentWeekendVisits numeric
@attribute Average_Basket_Size numeric
@attribute AGE_INDEX numeric
@attribute INCOME_INDEX numeric
@attribute HOUSEHOLD_SIZE_INDEX numeric
@attribute total_sales_log numeric
@attribute total_sales_class {Medium,Low,High}

@data
1,1997,2,85,78,1507,6,23,75,29,23.494118,6,4,2,8.37336,Medium
1001,1736,2,90,79,831,2,16,48,20,19.288889,4,5,1,8.314342,Medium
1003,1055,2,63,47,486,29,11,46,23,16.746032,3,3,1,7.858923,Low
1004,1040,9,219,192,605,3,78,58,41,4.748858,2,2,1,7.873682,Low
101,2399,5,165,133,690,4,23,29,17,14.539394,4,1,4,8.549798,Medium
1012,1058,3,106,91,637,39,23,60,25,9.981132,3,4,5,7.633612,Low
1014,1865,7,146,133,1007,9,36,54,27,12.773973,4,2,4,8.285894,Medium
1015,2301,2,106,102,715,2,30,31,29,21.707547,4,5,1,8.234308,Medium
1018,796,5,160,137,455,5,27,57,20,4.975,4,4,5,7.622072,Low
1020,3759,3,167,152,2456,1,48,65,32,22.508982,4,3,2,9.156507,High
1021,876,3,99,87,488,4,17,56,20,8.848485,3,5,5,7.643061,Low
1024,4200,6,133,114,1719,5,31,41,27,31.578947,2,1,4,9.126699,High
1031,1317,5,116,103,753,158,26,57,25,11.353448,3,6,2,8.090126,Medium
1038,1128,5,273,220,454,10,54,40,25,4.131868,5,1,1,7.379008,Low
104,3358,4,125,113,2049,1,35,61,31,26.864,3,4,5,8.773498,Medium
1040,2042,13,229,223,1551,2,64,76,29,8.917031,2,7,1,8.642016,Medium
1041,3562,12,290,186,1774,1,65,50,35,12.282759,2,4,1,8.875801,High
1042,3027,11,231,206,1432,6,61,47,30,13.103896,2,6,2,8.514247,Medium
1045,1913,7,224,183,1125,2,44,59,24,8.540179,2,1,2,8.19458,Medium
105,2994,3,169,130,1596,2,31,53,24,17.715976,2,1,3,8.431999,Medium
1053,1987,3,94,94,1228,5,10,62,11,21.138298,5,7,2,8.421017,Medium
1057,3696,9,184,175,1681,2,82,45,47,20.086957,3,5,1,9.014245,High
1060,2411,4,62,60,1732,71,29,72,48,38.887097,3,4,2,8.711853,Medium
1062,926,2,214,195,436,1,64,47,33,4.327103,6,2,2,7.31039,Low
1066,2102,3,245,217,1052,4,46,50,21,8.579592,3,3,2,8.043773,Medium
1069,1417,3,55,52,570,31,21,40,40,25.763636,2,4,2,8.141268,Medium
1070,1863,5,138,123,1142,7,37,61,30,13.5,3,5,2,8.259215,Medium
1074,3367,4,120,111,1885,5,39,56,35,28.058333,4,4,4,8.911829,High
1076,669,6,86,80,483,1,36,72,45,7.77907,2,4,2,7.714682,Low
1081,3400,6,138,123,2268,13,33,67,27,24.637681,5,6,2,9.227406,High
1082,1522,2,127,125,399,1,42,26,34,11.984252,4,4,1,7.549709,Low
1084,1171,18,223,162,647,1,52,55,32,5.251121,2,4,3,7.767755,Low
109,1544,4,104,101,1011,4,28,65,28,14.846154,2,2,2,8.160824,Medium
1091,1389,4,88,83,957,46,12,69,14,15.784091,4,6,2,8.263348,Medium
1094,2486,6,94,84,1296,3,27,52,32,26.446809,4,6,5,8.680259,Medium
110,1676,14,155,133,764,1,58,46,44,10.812903,2,4,1,8.000946,Medium
1103,1973,3,155,149,1366,4,68,69,46,12.729032,3,5,3,8.517363,Medium
1113,1981,9,172,156,1076,2,38,54,24,11.517442,4,5,3,8.366505,Medium
1120,839,3,85,73,482,3,26,57,36,9.870588,3,1,4,7.441649,Low
1123,1344,4,73,65,824,38,24,61,37,18.410959,5,2,2,8.272777,Medium
